Date,Dividends
1974-03-13,0.000098
1974-09-10,0.000098
1975-03-11,0.000059
1975-06-23,0.000059
1975-09-08,0.000059
1975-12-05,0.000078
1976-03-16,0.000078
1976-06-21,0.000078
1976-09-03,0.000078
1976-12-08,0.000098
1977-03-21,0.000098
1977-06-20,0.000176
1977-09-02,0.000176
1977-11-23,0.000176
1978-03-17,0.000215
1978-06-19,0.000215
1978-09-01,0.000215
1978-12-08,0.000215
1979-03-19,0.000293
1979-06-25,0.000293
1979-08-31,0.000293
1979-12-10,0.000293
1980-03-28,0.000391
1980-06-16,0.000391
1980-08-29,0.000391
1980-12-23,0.000781
1981-03-24,0.000508
1981-06-16,0.000508
1981-08-31,0.000508
1981-10-05,0.003438
1982-03-23,0.000703
1982-06-15,0.000703
1982-08-30,0.000703
1982-12-07,0.000703
1983-03-18,0.001094
1983-06-14,0.001094
1983-08-29,0.001094
1983-12-06,0.001094
1984-03-19,0.001625
1984-06-15,0.001625
1984-08-28,0.001625
1984-12-07,0.001625
1985-03-18,0.002188
1985-06-17,0.002188
1985-08-27,0.002188
1985-12-06,0.002188
1986-03-18,0.002625
1986-06-16,0.002625
1986-08-26,0.002625
1986-12-05,0.002625
1987-03-17,0.003750
1987-06-15,0.003750
1987-08-27,0.003750
1987-12-07,0.003750
1988-03-17,0.005000
1988-06-13,0.005000
1988-08-29,0.005000
1988-12-05,0.005000
1989-03-17,0.006875
1989-06-12,0.006875
1989-08-28,0.006875
1989-12-05,0.006875
1990-03-19,0.008750
1990-06-11,0.008750
1990-08-27,0.008750
1990-12-04,0.008750
1991-03-18,0.010500
1991-06-11,0.010500
1991-08-26,0.010500
1991-12-05,0.010500
1992-03-17,0.013000
1992-06-09,0.013000
1992-09-01,0.013000
1992-12-04,0.013000
1993-03-17,0.016000
1993-06-08,0.016000
1993-08-31,0.016000
1993-11-26,0.016000
1994-03-15,0.021000
1994-06-07,0.021000
1994-08-30,0.021000
1994-11-29,0.021000
1995-03-15,0.025000
1995-06-08,0.025000
1995-08-31,0.025000
1995-11-29,0.025000
1996-03-15,0.026000
1996-06-13,0.026000
1996-08-29,0.026000
1996-12-11,0.026000
1997-03-17,0.034000
1997-06-18,0.034000
1997-09-17,0.034000
1997-12-17,0.034000
1998-03-18,0.039000
1998-06-17,0.039000
1998-09-16,0.039000
1998-12-09,0.039000
1999-03-17,0.050000
1999-06-16,0.050000
1999-09-15,0.050000
1999-12-15,0.050000
2000-03-15,0.060000
2000-06-14,0.060000
2000-09-13,0.060000
2000-12-20,0.060000
2001-03-21,0.070000
2001-06-20,0.070000
2001-09-19,0.070000
2001-12-19,0.070000
2002-03-20,0.075000
2002-06-19,0.075000
2002-09-18,0.075000
2002-12-18,0.075000
2003-03-19,0.090000
2003-06-18,0.090000
2003-10-02,0.090000
2003-12-17,0.090000
2004-03-17,0.130000
2004-05-19,0.130000
2004-08-18,0.130000
2004-12-15,0.130000
2005-03-16,0.150000
2005-05-18,0.150000
2005-08-17,0.150000
2005-12-14,0.150000
2006-03-15,0.168000
2006-05-17,0.168000
2006-08-16,0.168000
2006-12-13,0.168000
2007-03-14,0.220000
2007-05-16,0.220000
2007-08-15,0.220000
2007-12-12,0.220000
2008-03-12,0.238000
2008-05-14,0.238000
2008-08-13,0.238000
2008-12-11,0.238000
2009-03-11,0.273000
2009-05-13,0.273000
2009-08-12,0.273000
2009-12-09,0.273000
2010-03-10,0.303000
2010-05-12,0.303000
2010-08-11,0.303000
2010-12-08,0.303000
2011-03-09,0.365000
2011-05-11,0.365000
2011-08-10,0.365000
2011-12-07,0.365000
2012-03-08,0.398000
2012-05-09,0.398000
2012-08-08,0.398000
2012-12-05,0.398000
2013-03-08,0.470000
2013-05-08,0.470000
2013-08-07,0.470000
2013-12-04,0.470000
2014-03-07,0.480000
2014-05-07,0.480000
2014-08-06,0.480000
2014-12-03,0.480000
2015-03-11,0.490000
2015-05-06,0.490000
2015-08-05,0.490000
2015-12-02,0.490000
2016-03-09,0.500000
2016-05-11,0.500000
2016-08-10,0.500000
2016-12-07,0.500000
2017-03-08,0.510000
2017-05-10,0.510000
2017-08-09,0.510000
2017-12-07,0.510000
2018-03-08,0.520000
2018-05-10,0.520000
2018-08-09,0.520000
2018-12-06,0.520000
2019-03-14,0.530000
2019-05-09,0.530000
2019-08-08,0.530000
2019-12-05,0.530000
2020-03-19,0.540000
2020-05-07,0.540000
2020-08-13,0.540000
2020-12-10,0.540000
2021-03-18,0.550000
2021-05-06,0.550000
2021-08-12,0.550000
2021-12-09,0.550000
